customer_id,order_id,order_date,city,category,product_name,quantity,order_value,payment_method
CUST01606,ORD000001,2025-04-28,Rajkot,Home,Havells Fan,3,2669,Debit Card
CUST02730,ORD000002,2025-03-09,Surat,Sports,Nivia Cricket Kit,2,7382,Credit Card
CUST00073,ORD000003,2025-03-17,Ahmedabad,Home,Havells Fan,4,5646,COD
CUST04362,ORD000004,2025-09-17,Rajkot,Fashion,Puma Running Shoes,4,15750,UPI
CUST00428,ORD000005,2025-01-14,Surat,Beauty,Mamaearth Shampoo,1,14080,Credit Card
CUST00461,ORD000006,2025-09-11,Ahmedabad,Home,Havells Fan,3,16825,Credit Card
CUST03171,ORD000007,2025-03-11,Pune,Beauty,Nan,1,11181,Net Banking
CUST02447,ORD000008,2025-05-18,Pune,Fashion,Levi's 511 Jeans,4,14109,Credit Card
CUST03618,ORD000009,2025-05-04,Vadodara,Fashion,Allen Solly Shirt,1,10176,Credit Card
CUST00483,ORD000010,2025-12-22,Mumbai,Electronics,iPhone 15,4,16975,COD
CUST04418,ORD000011,2025-11-30,Mumbai,Fashion,Levi's 511 Jeans,5,6796,Credit Card
CUST02238,ORD000012,2025-01-23,Pune,Fashion,Nike Dri-FIT T-Shirt,3,23305,Net Banking
CUST03511,ORD000013,2025-12-30,Pune,Electronics,OnePlus 13,1,13181,Credit Card
CUST00446,ORD000014,2025-04-28,Mumbai,Electronics,Samsung Galaxy S25,5,13675,Debit Card
CUST04908,ORD000015,2025-10-15,Pune,Fashion,Nike Dri-FIT T-Shirt,2,6336,COD
CUST02619,ORD000016,2025-10-26,Ahmedabad,Beauty,Nivea Lotion,3,4514,Net Banking
CUST01707,ORD000017,2025-02-06,Ahmedabad,Sports,Decathlon Yoga Mat,1,14250,Net Banking
CUST00649,ORD000018,2025-05-07,Pune,Electronics,Samsung Galaxy S25,5,877,UPI
CUST02883,ORD000019,2025-05-08,Rajkot,Electronics,OnePlus 13,3,17530,Net Banking
CUST00999,ORD000020,2025-02-12,Ahmedabad,Sports,Nivia Cricket Kit,2,18531,COD
CUST04734,ORD000021,2025-07-24,Vadodara,Fashion,Allen Solly Shirt,5,20928,COD
CUST04016,ORD000022,2025-09-16,Rajkot,Beauty,Mamaearth Shampoo,1,22600,COD
CUST04551,ORD000023,2025-09-09,Rajkot,Home,Prestige Cooker,3,20389,Debit Card
CUST00615,ORD000024,2025-08-13,Pune,Sports,Decathlon Yoga Mat,2,7798,UPI
CUST02037,ORD000025,2025-01-10,Vadodara,Home,Prestige Cooker,4,20348,UPI
CUST04122,ORD000026,2025-08-31,Vadodara,Sports,Yonex Racket,4,19165,Credit Card
CUST01324,ORD000027,2025-05-14,Ahmedabad,Electronics,Sony WH-1000XM5,4,14989,UPI
CUST02193,ORD000028,2025-05-23,Surat,Electronics,OnePlus 13,4,14992,UPI
CUST01179,ORD000029,2025-04-13,Rajkot,Fashion,Allen Solly Shirt,1,18405,Credit Card
CUST01658,ORD000030,2025-10-02,Anand,Beauty,Lakme Face Wash,2,9793,Credit Card
CUST03687,ORD000031,2025-07-06,Surat,Sports,Cosco Football,1,9058,Debit Card
CUST02569,ORD000032,2025-10-25,Surat,Sports,Decathlon Yoga Mat,1,1552,COD
CUST02083,ORD000033,2025-03-19,Ahmedabad,Sports,Nivia Cricket Kit,1,15380,Credit Card
CUST04100,ORD000034,2025-06-15,Surat,Fashion,Nike Dri-FIT T-Shirt,4,19681,Credit Card
CUST04051,ORD000035,2025-09-05,Vadodara,Beauty,Lakme Face Wash,1,21356,COD
CUST04988,ORD000036,2025-04-02,Vadodara,Home,Milton Bottle,5,16677,Net Banking
CUST04317,ORD000037,2025-10-31,Rajkot,Fashion,Allen Solly Shirt,2,8183,Net Banking
CUST03076,ORD000038,2025-09-17,Pune,Sports,Decathlon Yoga Mat,4,11280,COD
CUST01592,ORD000039,2025-01-30,Ahmedabad,Electronics,OnePlus 13,2,17406,Credit Card
CUST00490,ORD000040,2025-03-29,Mumbai,Beauty,Lakme Face Wash,3,19119,Net Banking
CUST04690,ORD000041,2025-12-31,Rajkot,Home,Philips Air Fryer,4,4633,Credit Card
CUST04805,ORD000042,2025-06-06,Pune,Electronics,Boat Rockerz 550,3,9832,Credit Card
CUST04582,ORD000043,2025-12-13,Surat,Beauty,Mamaearth Shampoo,2,19682,UPI
CUST04062,ORD000044,2025-07-25,Pune,Home,Philips Air Fryer,2,22863,Credit Card
CUST00243,ORD000045,2025-03-15,Rajkot,Home,Milton Bottle,5,3965,Net Banking
CUST00135,ORD000046,2025-10-08,Pune,Home,Prestige Cooker,4,4161,UPI
CUST02921,ORD000047,2025-02-17,Rajkot,Home,Havells Fan,2,1278,Credit Card
CUST02186,ORD000048,2025-10-01,Pune,Sports,Yonex Racket,3,18004,UPI
CUST01524,ORD000049,2025-10-21,Surat,Beauty,Lakme Face Wash,1,1642,Debit Card
CUST04766,ORD000050,2025-10-01,Ahmedabad,Beauty,Lakme Face Wash,4,12776,Debit Card
CUST04159,ORD000051,2025-10-10,Rajkot,Sports,Yonex Racket,1,5571,Net Banking
CUST01339,ORD000052,2025-07-08,Vadodara,Sports,Cosco Football,2,2242,Net Banking
CUST01149,ORD000053,2025-12-06,Rajkot,Beauty,Nivea Lotion,4,10941,COD
CUST03449,ORD000054,2025-02-06,Ahmedabad,Home,Havells Fan,3,17804,UPI
CUST03759,ORD000055,2025-03-03,Surat,Electronics,Boat Rockerz 550,2,2618,Net Banking
CUST04367,ORD000056,2025-04-08,Ahmedabad,Sports,Nivia Cricket Kit,5,6925,Net Banking
CUST01890,ORD000057,2025-05-29,Pune,Beauty,Lakme Face Wash,3,23154,UPI
CUST02809,ORD000058,2025-03-01,Vadodara,Fashion,Puma Running Shoes,4,14004,Debit Card
CUST00613,ORD000059,2025-03-12,Surat,Beauty,Maybelline Lipstick,4,12681,Debit Card
CUST02171,ORD000060,2025-11-28,Vadodara,Home,Philips Air Fryer,2,2000,Debit Card
CUST03672,ORD000061,2025-04-03,Surat,Fashion,Nike Dri-FIT T-Shirt,5,4028,Credit Card
CUST03495,ORD000062,2025-04-17,Surat,Home,Prestige Cooker,1,6524,Net Banking
CUST02052,ORD000063,2025-03-16,Surat,Sports,Cosco Football,4,24341,UPI
CUST00292,ORD000064,2025-01-17,Surat,Electronics,OnePlus 13,4,16307,Net Banking
CUST04376,ORD000065,2025-04-10,Vadodara,Fashion,Nike Dri-FIT T-Shirt,4,10299,Net Banking
CUST04666,ORD000066,2025-01-06,Pune,Sports,Yonex Racket,3,20916,Credit Card
CUST01791,ORD000067,2025-08-20,Rajkot,Home,Milton Bottle,5,16374,Credit Card
CUST04842,ORD000068,2025-08-17,Surat,Fashion,Nike Dri-FIT T-Shirt,2,1782,Credit Card
